"resource_id","resource_pref_id","res","reslabel","res_np","res_np_date"
"http://purl.org/np/RA4b-LIptEtHjOVWfK1uvEwd0s9NAWtKKEHTsXklIC6fU#CERIF","http://purl.org/np/RA4b-LIptEtHjOVWfK1uvEwd0s9NAWtKKEHTsXklIC6fU#CERIF","CERIF","CERIF | Common European Research Information Format","http://purl.org/np/RAtv_q4s-8xxL_is8gV8GPDwoqVY550Omdvy9Rg0Liaqc",2023-01-08T16:52:01.058Z
"http://purl.org/np/RAWvmFQYmQh-MnkxGhMye528AeuuL9mM4bPvM4ChUqld4#CERIF","http://purl.org/np/RA4b-LIptEtHjOVWfK1uvEwd0s9NAWtKKEHTsXklIC6fU#CERIF","CERIF","CERIF | Common European Research Information Format","http://purl.org/np/RAtv_q4s-8xxL_is8gV8GPDwoqVY550Omdvy9Rg0Liaqc",2023-01-08T17:52:01.058+01:00
"http://purl.org/np/RA4oRRKTg5X-e0JOtnuXbrZBaNRJnMICD_R3z4r6olOTU#ICOS_ontology","http://purl.org/np/RA4oRRKTg5X-e0JOtnuXbrZBaNRJnMICD_R3z4r6olOTU#ICOS_ontology","ICOS_ontology","ICOS Ontology | Integrated Carbon Observation System Ontology","http://purl.org/np/RALCNek-_XO6p7DXGRvP5sEc3Uxg8NQNWKfwcREd8FQA4",2022-07-21T12:49:33.336+02:00
"http://purl.org/np/RA4oRRKTg5X-e0JOtnuXbrZBaNRJnMICD_R3z4r6olOTU#ICOS_ontology","http://purl.org/np/RA4oRRKTg5X-e0JOtnuXbrZBaNRJnMICD_R3z4r6olOTU#ICOS_ontology","ICOS_ontology","ICOS Ontology | Integrated Carbon Observation System Ontology","http://purl.org/np/RALCNek-_XO6p7DXGRvP5sEc3Uxg8NQNWKfwcREd8FQA4",2022-07-21T10:49:33.336Z
"http://purl.org/np/RArtU4UpQFVgd-U8_imYN5niTuaxc2DTa-IIAYGH1C-rE#ICOS_ontology","http://purl.org/np/RA4oRRKTg5X-e0JOtnuXbrZBaNRJnMICD_R3z4r6olOTU#ICOS_ontology","ICOS_ontology","ICOS Ontology | Integrated Carbon Observation System Ontology","http://purl.org/np/RALCNek-_XO6p7DXGRvP5sEc3Uxg8NQNWKfwcREd8FQA4",2022-07-21T12:49:33.336+02:00
"http://purl.org/np/RAyNYFXyVrhzmR7t9yBABDDfYrR9oSWVuOasoVLGh_ah4#ICOS_ontology","http://purl.org/np/RA4oRRKTg5X-e0JOtnuXbrZBaNRJnMICD_R3z4r6olOTU#ICOS_ontology","ICOS_ontology","ICOS Ontology | Integrated Carbon Observation System Ontology","http://purl.org/np/RALCNek-_XO6p7DXGRvP5sEc3Uxg8NQNWKfwcREd8FQA4",2022-07-21T12:49:33.336+02:00
"http://purl.org/np/RA4rdLbzwrBDZzdvLVophtrDEQVvevvzou3dihHRZzH4o#datacite-doi-policy","http://purl.org/np/RA4rdLbzwrBDZzdvLVophtrDEQVvevvzou3dihHRZzH4o#datacite-doi-policy","datacite-doi-policy","DataCite DOI Policy","http://purl.org/np/RA4rdLbzwrBDZzdvLVophtrDEQVvevvzou3dihHRZzH4o",2022-09-29T13:03:21Z
"http://purl.org/np/RA4vJcJ6unDqQm8iBb_DDlquVD6cl89vRtW3tQfRIVwd8#GAW","http://purl.org/np/RA4vJcJ6unDqQm8iBb_DDlquVD6cl89vRtW3tQfRIVwd8#GAW","GAW","GAWSIS | Global Atmosphere Watch Station Information System","http://purl.org/np/RAtcsJoiG4y75xAVXakcZjYcvtNZYFrq0Av8vNodn9FgQ",2023-01-08T17:45:24.828+01:00
"http://purl.org/np/RA4vJcJ6unDqQm8iBb_DDlquVD6cl89vRtW3tQfRIVwd8#GAW","http://purl.org/np/RA4vJcJ6unDqQm8iBb_DDlquVD6cl89vRtW3tQfRIVwd8#GAW","GAW","GAWSIS | Global Atmosphere Watch Station Information System","http://purl.org/np/RAtcsJoiG4y75xAVXakcZjYcvtNZYFrq0Av8vNodn9FgQ",2023-01-08T16:45:24.828Z
"http://purl.org/np/RA4xRfS-I9le_ysrtzf5ZgKwDXgwDlk8doZyJWEHj24A8#LGPL-3.0-or-later","http://purl.org/np/RA4xRfS-I9le_ysrtzf5ZgKwDXgwDlk8doZyJWEHj24A8#LGPL-3.0-or-later","LGPL-3.0-or-later","LGPL-3.0-or-later|GNU Lesser General Public License v3.0 or later","http://purl.org/np/RA4xRfS-I9le_ysrtzf5ZgKwDXgwDlk8doZyJWEHj24A8",2022-01-16T20:17:09.843Z
